Paper,title,pilot,period_of_study,methods,themes,blockchain_failures,blockchain_successes,sentiment,other_details,paper_name
0,BLOCKCHAIN LAND REGISTRY BEST PRACTICES: THE POLITICAL AND TECHNICAL FEASIBILITY OF HARNESSING BLOCKCHAIN TECHNOLOGY TO IMPROVE LAND ADMINISTRATION,Analysis of 28 blockchain land registry pilots worldwide in developed and developing countries.,Research conducted primarily between 2015 and 2024 with data and case studies up to 2024.,"Used interdisciplinary methods including surveys of land registry professionals, qualitative interviews, public policy analysis, factor modeling, and design science research to assess political and technical obstacles to blockchain land registry adoption.","Explores political and technical feasibility of blockchain for land administration, focusing on obstacles, governance, property rights, digitization, blockchain types, and pilot program outcomes.","Failures were mainly due to political resistance, entrenched incumbent interests, corruption, lack of political will, funding issues, and institutional inertia rather than technical shortcomings. Examples include Honduras and Brazil pilots stalled by political opposition and cost concerns.","Moderately successful pilots occurred in countries with higher internet penetration, rule of law, and political support such as Sweden, Georgia, Rwanda, and parts of the US. Hybrid blockchain approaches and private blockchains facilitated pilot implementations.",The sentiment is cautiously optimistic about blockchain's technical viability but emphasizes political and institutional challenges as the primary barriers to adoption and scaling of blockchain land registries.,"• Blockchain technology offers transparency, immutability, and security benefits for land registries but requires digitized land records and identity solutions.
• Political obstacles outweigh technical ones, with incumbents and corrupt actors resisting change.
• Private and hybrid blockchains are preferred by governments due to regulatory compliance and control, though they sacrifice some decentralization benefits.
• Internet penetration and digital literacy are critical factors for successful adoption.
• Developed countries generally have better infrastructure and governance, making pilots more feasible.
• Developing countries face challenges including corruption, lack of digitization, and weaker institutions.
• The research developed an index and factor analysis to assess countries' suitability for blockchain land registries.
• The study calls for further research on overcoming political resistance and building coalitions for reform.
• Blockchain is not a panacea for poor data quality or weak institutions but a tool to be used when certain preconditions are met.
• The private sector is advancing blockchain tokenization of real estate independently of public sector adoption.
• The dissertation author is the President of the Texas Blockchain Council and has extensive experience in blockchain policy and land registry research.",BLOCKCHAIN LAND REGISTRY BEST PRACTICES THE POLITICAL AND TECHNICAL FEASIBILITY OF HARNESSING BLOCK.pdf
1,Responsible Blockchain: STEADI Principles and the Actor-Network Theory-based Development Methodology (ANT-RDM),N/A,N/A,"The paper introduces the Actor-Network Theory-based Responsible Development Methodology (ANT-RDM) for blockchain development, which includes the stages of problematization, interessement, enrollment, and mobilization. It applies Actor-Network Theory to analyze blockchain as a socio-technical system involving human and non-human actors and proposes STEADI principles for responsible blockchain design.","The paper focuses on technical challenges (scalability, security, privacy, interoperability, energy consumption), business and adoption challenges, social, ethical, environmental, and regulatory controversies, and proposes responsible blockchain development principles and methodology.","Blockchain faces significant challenges including scalability trilemma, multiple layers of security vulnerabilities (hardware, data, network, consensus, smart contracts, application), privacy issues due to pseudonymity, interoperability problems among heterogeneous blockchains, high energy consumption especially in Proof of Work systems, unclear regulatory frameworks, social and ethical issues like digital divide and privacy conflicts, environmental degradation, potential for illicit activities, and governance centralization risks.","Blockchain technology offers potential to revolutionize multiple sectors by enhancing transparency, trust, immutability, and operational efficiency. It supports sustainability goals by improving traceability and transparency, enabling circular economy strategies, and reducing environmental footprints. The transition to energy-efficient consensus mechanisms like Proof of Stake significantly reduces energy consumption. Blockchain also facilitates decentralized governance, inclusive participation, and innovative ecosystem development.","The paper adopts a cautiously optimistic sentiment, acknowledging significant challenges and controversies but emphasizing that responsible blockchain development guided by STEADI principles and ANT-RDM methodology is key to overcoming these issues and achieving mass adoption.","• Responsible blockchain is defined as a socio-technical system fostering sustainable, transparent, ethical, adaptive, decentralized, and inclusive practices.
• STEADI principles stand for Sustainable, Transparent, Ethical, Adaptive, Decentralized, and Inclusive design principles.
• ANT-RDM methodology applies Actor-Network Theory to blockchain development, emphasizing the alignment of interests among diverse human and non-human actors.
• The methodology involves four stages: problematization (defining problems and actors), interessement (engaging actors), enrollment (developing and implementing blockchain and governance), and mobilization (stabilizing the network).
• Challenges include the scalability trilemma, multi-layered security attacks, privacy paradox, interoperability fragmentation, and high energy consumption.
• Business adoption is hindered by high costs, regulatory uncertainty, and the need for management support.
• Social controversies include the digital divide, privacy conflicts with regulations like GDPR, and ethical concerns.
• Environmental concerns focus on energy use and e-waste, with PoS offering a promising alternative.
• Illicit activities exploit blockchain anonymity, requiring balanced regulatory and privacy approaches.
• Governance issues arise from stake-based power concentration and diverse consensus mechanisms.
• Future research should empirically validate ANT-RDM, develop performance metrics, tools, and educational programs to support responsible blockchain development.",Responsible Blockchain STEADI Principles and the Actor-Network Theory-based Development Methodology.pdf
2,Blockchain humanitarianism and crypto-colonialism,Analysis of blockchain humanitarian projects in the Pacific and developing world contexts.,"Contemporary developments up to 2021 with case studies including Vanuatu, Papua New Guinea, and El Salvador.","The paper uses a critical political economy approach, drawing on the author's own fieldwork in the Pacific and analysis of flagship blockchain humanitarian projects and partnerships with NGOs and governments.","The intersection of blockchain technology with humanitarian aid, neoliberal governance, public-private partnerships, techno-solutionism, crypto-colonialism, digital identity, and the political economy of cryptocurrencies.","Blockchain humanitarian projects fail due to technological obscurantism, inability to transpose governance logic to social systems, reliance on proprietary platforms, regulatory evasion, and perpetuation of colonial power dynamics and speculative crypto-economy interests.","Modest cost and time savings in cash aid delivery, pilot implementations of digital identity and cash transfer systems, and increased innovation credibility for aid agencies, though these successes are overshadowed by ethical and political concerns.","Critical and skeptical of blockchain humanitarianism, highlighting its entanglement with crypto-colonialism, PR-driven solutionism, and the perpetuation of neoliberal and imperialist agendas rather than genuine empowerment.","• Blockchain humanitarianism is inseparable from the politics of the crypto-economy and Silicon Valley cultural values.
• The World Food Program's Building Blocks is the largest blockchain humanitarian aid project but operates as a private, permissioned system rather than a true blockchain.
• Self-sovereign identity (SSI) is promoted as a solution for refugees but remains ambiguous and tied to techno-libertarian ideals.
• Public-private partnerships in aid facilitate blockchain experimentation but often prioritize PR and innovation hype over ethical considerations.
• Oxfam's Unblocked Cash project in Vanuatu illustrates the risks of blockchain solutionism and regulatory disregard.
• Blockchain projects in the developing world often replicate colonial legacies by enabling value extraction and undermining sovereignty.
• Notable failures include the Ledger Atlas special economic zone in Papua New Guinea, which collapsed amid techno-capitalist hubris.
• The paper calls for recognition of crypto's speculative risks and the importance of developing world sovereignty in blockchain projects.
• Blockchain governance lacks standardization and fails to replicate consensus algorithms in complex social systems.
• The Global Blockchain Business Council and figures like Hernando de Soto promote blockchain as a tool for market-driven development that threatens indigenous land rights.
• The paper critiques the ideological extremism and environmental costs associated with blockchain and cryptocurrencies.
• Blockchain humanitarianism serves as a PR mechanism to legitimize the broader crypto-economy rather than delivering transformative social impact.",Blockchain humanitarianism and crypto-colonialism.pdf
3,UnBlocked Cash: piloting accelerated cash transfer delivery in Vanuatu,Distributed Ledger Technology pilot distributing cash transfers in two urban communities in Vanuatu.,Four weeks in April to June 2019.,"Used Ethereum mainnet with DAI stablecoin wrapped in Crypto Collateralised Vouchers and NFC cards for offline transactions. Distributed funds to 187 households and 29 vendors. Data collected via participant registration, surveys, focus groups, key informant interviews, and real-time monitoring. Sempo platform and ConsenSys supported implementation and analysis.","Evaluated cost and time efficiency, transparency, security, user experience, and operational challenges of DLT-based cash and voucher assistance in a disaster-prone urban context.",No direct reduction in transaction time or cost due to reliance on existing financial service providers for cashing out. Hardware delays and connectivity issues affected synchronization. Dependence on a single technical expert posed a risk. Limited transparency for recipients due to technological literacy barriers. The Super Vendor model introduced complexity and delayed reimbursements.,Significant time savings in onboarding recipients compared to traditional methods. Transparency and real-time monitoring improved operational efficiency and responsiveness. NFC cards enabled offline transactions preventing double-spending. High user satisfaction and preference for the system. The platform adapted quickly to challenges with a hub-and-spoke cash-out model. Integration with KoBoToolbox streamlined registration.,"Overall positive with recognition of operational efficiencies and user acceptance, tempered by challenges related to financial intermediaries, technical dependencies, and scalability concerns.","• The pilot distributed approximately VUV 966,443 (AUD 11,896.91) benefiting an estimated 1,210 individuals.
• The use of the DAI stablecoin wrapped in CCVs complied with local AML and KYC regulations.
• The NFC cards functioned securely in low-connectivity environments, allowing offline transactions.
• The Super Vendor model helped smaller vendors cash out faster but introduced UX and liquidity challenges.
• Recipients primarily spent funds on food, hygiene, and household items, with no misuse reported.
• Real-time monitoring allowed quick identification and resolution of issues such as lost or unused cards.
• The pilot faced challenges with vendor device hardware inconsistencies and limited smartphone ownership.
• Transparency was layered: blockchain records, Sempo dashboard, and community focal points, though accessibility varied.
• No personal data was stored on-chain; all sensitive data was held off-chain with appropriate security measures.
• Onboarding time averaged 4.5 minutes for recipients and 8.25 minutes for vendors, faster than traditional CVA processes.
• Direct transaction costs on Ethereum were low but overall costs were comparable to traditional methods due to existing financial intermediaries.
• Recommendations include expanding vendor pools, improving training, enhancing app features, and exploring disintermediation.
• The pilot highlighted the need for more experts to avoid single points of failure and better baseline data for future comparisons.
• Privacy concerns arose from real-time monitoring, requiring further risk assessment.
• The pilot was conducted in low-risk urban communities to avoid burdening vulnerable populations.
• The system showed promise for disaster response but requires adaptation for connectivity and scalability challenges.
• Future work should explore direct donor integration, proprietary DLT solutions, and legal frameworks for digital wallets in developing contexts.",UnBlocked Cash Piloting accelerated cash transfer delivery in Vanuatu.pdf
4,JIU/REP/2020/7 Blockchain applications in the United Nations system: towards a state of readiness,"Ten United Nations organizations currently use blockchain applications in various projects including supply chain, digital payments, livestock tracing, digital identity, and land registration.",The study covers blockchain applications and developments in the United Nations system from 2017 to 2020.,"The methodology included extensive literature review, desk analysis, corporate questionnaires to all 28 JIU participating organizations and UNICC, 56 interviews with approximately 116 individuals, participation in blockchain conferences and meetings, consultations with industry and government experts, and SWOT analysis principles.","The report covers blockchain adoption in the UN system, benefits and challenges of blockchain, risk management, decision-making frameworks, interoperability and standards, legal frameworks, capacity building, and inter-agency collaboration in blockchain use.","Many blockchain pilots faced challenges such as limited scalability, connectivity issues in remote areas, lack of local expertise, difficulties in onboarding users, and some projects were discontinued due to external factors like market collapse or circumstantial reasons unrelated to technology. Immutability posed risks when errors occurred and decentralization was sometimes compromised for simplicity.","Successful applications include WFP's Building Blocks for humanitarian cash transfers serving over 800,000 refugees, UNDP's supply chain tracking in Ecuador and Serbia, FAO/ITU's livestock traceability in Papua New Guinea, UNICEF's Digicus smart contracts for partner agreements, and UNICC/UNJSPF's digital certificate of entitlement. These projects demonstrated benefits like increased transparency, traceability, cost savings, improved efficiency, and enhanced inter-agency cooperation.","The report adopts a balanced and cautious optimism stance, recognizing blockchain's potential while emphasizing the need for rigorous business cases, risk management, interoperability, legal clarity, capacity building, and system-wide collaboration to realize benefits without falling prey to hype.","• Blockchain is viewed as a technology integral to the fourth industrial revolution and digital transformation.
• The United Nations system is at an early stage of blockchain adoption with growing interest and experimentation.
• Blockchain's core features include decentralization, immutability, and security, but these also raise ethical, legal, and operational challenges.
• The report proposes a decision-making matrix to assess the suitability of blockchain for specific use cases.
• Inter-agency cooperation and shared governance frameworks are essential to avoid duplication and fragmentation.
• Minimum policies and standards are needed to reduce legal uncertainty and encourage innovation without stifling it.
• The United Nations should develop in-house blockchain expertise and favor open-source solutions to reduce vendor lock-in.
• Training on blockchain should be integrated into organizational learning curricula tailored to different staff levels.
• The United Nations Digital Solutions Centre and Innovation Network are key initiatives supporting blockchain collaboration and scaling.
• Legal and regulatory work by UNCITRAL and standards development by ISO and ITU are important for the system-wide blockchain ecosystem.
• Blockchain applications must align with the Sustainable Development Goals and respect UN values, including privacy, accountability, and environmental sustainability.
• The report includes eight formal recommendations addressing strategy integration, risk assessment, principles endorsement, decision-making, standards monitoring, legal cooperation, open-source development, and governance frameworks.
• Soft recommendations encourage knowledge sharing, transparency, training, and the creation of shared resources and rosters of providers.",Blockchain applications in the United Nations system: towards a state of readiness.pdf
5,Making Sense of Blockchain Technology in the Humanitarian Sector: A Case Study Analysis of 'Building Blocks',"The 'Building Blocks' pilot started in 2017 in Pakistan, providing cash transfers to 100 individuals without financial intermediaries.","The study covers the period from 2017 to 2022, including the expansion of 'Building Blocks' to Jordan and Cox's Bazar refugee camps.","The paper uses a qualitative case study analysis of the 'Building Blocks' blockchain project by the World Food Programme, examining its design, implementation, and implications in humanitarian contexts.","The study explores blockchain's role in humanitarian aid efficiency, transparency, governance, power dynamics, and socio-technical implications in refugee assistance.","'Building Blocks' faces challenges such as limited decentralization due to private permissioned blockchain design, risks of power concentration, potential surveillance and ethical issues with biometric data, lack of technical literacy among users, and unresolved data privacy and regulatory concerns.","The project has enhanced efficiency and transparency in aid distribution, reduced transaction costs by over 2.5 million dollars, processed over 15 million transactions, fostered collaboration among humanitarian organizations, and expanded to multiple refugee camps and crisis contexts.","The paper presents a cautiously optimistic view, recognizing significant benefits of humanitarian blockchain while emphasizing critical risks and the need for socio-technical and governance considerations.","• 'Building Blocks' integrates blockchain with biometric authentication to securely deliver aid.
• The project demonstrates blockchain's potential to reshape governance and power structures in humanitarian aid.
• Private blockchains limit full decentralization and may shift rather than remove power imbalances.
• Ethical concerns arise from storing sensitive biometric data of vulnerable populations.
• Technical literacy gaps risk disempowering refugees and frontline workers.
• The technology's novelty means unknown vulnerabilities could be exploited.
• The project exemplifies the socio-technical nature of blockchain, requiring contextual analysis.
• Further research is needed on data privacy, regulatory frameworks, and the role of marginalized groups.
• The paper highlights the risk of 'techno-solutionism' and platform imperialism in humanitarian blockchain initiatives.
• Findings may inform similar blockchain applications in humanitarian and refugee financial inclusion contexts.",Making Sense of Blockchain Technology in the Humanitarian Sector A Case Study Analysis of 'Building Blocks'.pdf
6,Blockchain technology in migrant and refugee health - A scoping review,Scoping review of 69 articles with 8 relevant studies analyzed in detail.,Studies published between 2008 and 2021 were included.,"A multi-step scoping review was conducted using diverse databases across biomedical, engineering, and technology fields. Keywords were refined iteratively to focus on Blockchain applications for migrants and refugees in health contexts. Two independent reviewers screened articles using Rayyan QCRI, resolving disagreements through discussion. Grey literature was also consulted for additional insights.","The main themes identified were lack of personal identification, availability of health records, humanitarian aid, financial transactions, academic and legal records, migrant labor exploitation, and COVID-19 assistance.","Challenges include high energy consumption of some Blockchain implementations, compliance with data protection regulations like GDPR, and difficulties implementing Blockchain in low-resource settings such as refugee camps. The immutability of Blockchain data conflicts with the right to be forgotten, requiring hybrid solutions.","Blockchain enables secure, decentralized digital identities for migrants and refugees, improving access to health care and social services. It facilitates availability and sharing of electronic health records, supports humanitarian aid delivery, financial inclusion, and protects migrant workers against exploitation by recording immutable contracts. Smart contracts enhance transparency and trust without intermediaries.","Overall positive and optimistic about Blockchain's potential to address key gaps in migrant and refugee health, while acknowledging current empirical nature and need for more rigorous research.","• The review identified two primary Blockchain uses in migrant health: mitigating lack of personal identification and improving health record availability.
• Blockchain supports data reliability in academic certificates, legal contracts, and financial transactions relevant to migrants.
• Digital identity creation is critical for asserting migrants' rights and accessing health services.
• Blockchain's decentralization and auditability align with Sustainable Development Goal 3 for universal health coverage.
• Hybrid Blockchain architectures can help comply with privacy laws by pseudonymizing data and separating identity from transactions.
• Ethereum's shift from Proof-of-Work to Proof-of-Stake consensus reduces energy consumption, making Blockchain more sustainable.
• Use cases include World Food Program's Building Blocks for aid delivery and ConsenSys & Moldova's anti-trafficking digital identity project.
• Blockchain can facilitate migrant job integration by validating academic credentials and employment contracts.
• Current literature is mostly descriptive and empirical; more original research is needed to evaluate Blockchain's impact on migrant health.
• Data sharing via Blockchain can improve global cooperation among diaspora-related countries and overcome national health system limitations.
• The immutable nature of Blockchain records presents legal and ethical challenges that require technical and policy solutions.",Blockchain technology in migrant and refugee health A scoping review.pdf
7,BLOCKCHAIN TECHNOLOGY IN HUMANITARIAN PROGRAMMING A PILOT PROJECT IN CASH TRANSFER PROGRAMMING IN KENYA,"Pilot project conducted by Kenya Red Cross Society in Isiolo County, Kenya with 2,090 beneficiaries.",May 2018.,"The pilot integrated mobile money (Safaricom Mpesa), a humanitarian data management platform (RedRose), an internal electronic funds transfer system (Craft Silicon), and a private blockchain to record transactions. Beneficiary data was extracted from KRCS KOBO platform and uploaded to RedRose. Transactions were disbursed via Mpesa and recorded immutably on the blockchain accessible by KRCS, IFRC, and RedRose nodes.","Transparency, accountability, efficiency, scalability, data privacy, consent, and integration of blockchain in cash transfer programming within humanitarian aid.","Challenges included dependency on internet connectivity in difficult environments, unclear processes for obtaining informed consent due to blockchain's complex data structures, limited testing of digital identity management, and unresolved questions on data privacy, accountability, and jurisdiction in case of data breaches.",The pilot demonstrated increased transparency and accountability through an immutable ledger accessible by multiple stakeholders. It improved efficiency by reducing cash disbursement time from weeks to three days. Automation of payment and reconciliation processes enhanced effectiveness. The system provided better auditability by enabling independent verification of transactions. The open-loop blockchain solution was scalable and integrated well with existing mobile money infrastructure.,"Positive with cautious optimism; blockchain shows significant potential to improve humanitarian cash transfer programming but requires further research, clear data privacy protocols, and robust consent mechanisms.","• Blockchain technology can transform humanitarian aid by saving costs, reducing transaction times, and fighting corruption through transparency.
• The pilot was the first open-loop blockchain cash transfer project in humanitarian programming.
• RedRose data management platform's offline capabilities were essential due to limited power and internet connectivity.
• The pilot promoted segregation of duties and financial controls enhancing program quality.
• Community trust was crucial for beneficiary consent despite complexities of blockchain.
• Blockchain complemented offline data collection and management systems.
• Recommendations include establishing guidelines for data safety, auditing blockchain data, building legal frameworks for consent, training multidisciplinary teams, and fostering partnerships for scalability.
• The study highlights the need for more case studies to confirm blockchain as a game changer in humanitarian programming.
• Frequently asked questions address concerns about data immutability, privacy of sensitive information, accountability, and jurisdiction in data breaches.",BLOCKCHAIN TECHNOLOGY IN HUMANITARIAN PROGRAMMING A PILOT PROJECT IN CASH TRANSFER PROGRAMMING IN KENYA.pdf
8,Blockchain and Economic Development: Hype vs. Reality,"Several pilot projects including land registry in Georgia, digital ID in Canada, and aid disbursement in Jordan.","Up to mid-2017, with examples from projects initiated between 2015 and 2017.","The paper uses a literature review and case study analysis of blockchain applications in economic development, focusing on four use cases: international payments, digital identity, property rights, and aid disbursement.","Exploration of blockchain technology's potential and limitations in economic development, focusing on trust, transparency, efficiency, governance, privacy, and scalability challenges.","Many blockchain-based remittance startups failed or shifted focus due to thin liquidity and competition; stalled pilots in Honduras and Sweden show challenges in legal and regulatory adaptation; privacy, governance, and operational resilience remain unresolved issues limiting adoption.","Successful pilots include Georgia's land registry using a hybrid blockchain approach, Canada's digital ID pilot with Hyperledger Fabric, and the UN World Food Programme's cash transfers to Syrian refugees on Ethereum, demonstrating increased transparency, reduced costs, and improved efficiency.","Cautiously optimistic; blockchain has potential to improve development outcomes but faces significant technological, institutional, and political hurdles that require time and collaboration to overcome.","• Blockchain technology can reduce reliance on intermediaries and enhance trust through transparency and immutability.
• Bitcoin solved the double-spend problem but is unlikely to replace national currencies due to volatility, scalability, and regulatory issues.
• Ethereum enables programmable blockchains with smart contracts, expanding blockchain use cases.
• Permissioned blockchains address privacy and governance concerns but reduce decentralization.
• Cross-border payments remain costly and slow; blockchain-based solutions offer some improvements but have yet to be transformative.
• User-centric digital ID systems on blockchain can enhance privacy, security, and user control but require government and institutional buy-in.
• Land registries on blockchain improve security and transparency but depend on the reliability of original records and legal frameworks.
• Aid disbursement on blockchain can increase transparency and reduce costs but scaling requires overcoming bureaucratic resistance and privacy concerns.
• Blockchain solutions must address data privacy, operational resilience, and governance to gain wider adoption in development contexts.
• Development organizations need technical expertise and evidence-based learning to evaluate blockchain's benefits and limitations.
• The success of blockchain in development depends on political will to address underlying systemic challenges beyond technology.
• Standards and principles for blockchain use in development should be developed to ensure interoperability and effectiveness.
• The technology is evolving and likely to mature through trial, error, and incremental improvements over time.",Blockchain and Economic Development Hype vs. Reality.pdf
9,Managing charity 4.0 with Blockchain: a case study at the time of Covid-19,"Case study of Charity Wall, an Italian social marketplace for charity 4.0.","Study conducted during the Covid-19 pandemic, with data and events primarily from 2020.","The study uses a case study approach focusing on Charity Wall, combined with a literature review and benchmark analysis of blockchain applications in charity and other sectors. It analyzes the technical features, benefits, and challenges of Charity Wall's blockchain-based platform.","Blockchain technology application in charity, transparency and traceability of donations, impact of Covid-19 on fundraising, fraud prevention, digital innovation in philanthropy, cryptocurrency donations, and the development of charity 4.0 systems.","Blockchain initiatives face challenges such as unclear and slow regulatory adaptation, lack of skilled technicians, high costs, difficulties in raising capital, and community misunderstanding which slow down development and adoption.","Blockchain enhances transparency, traceability, and accountability in charity donations, reduces intermediaries and operational costs, supports donations in cryptocurrencies and fiat, prevents fraud, and fosters trust between donors and non-profits. Charity Wall demonstrates these benefits through its dual blockchain system, utility token, and comprehensive documentation notarization.","Positive towards blockchain's potential to transform charity by increasing transparency and efficiency, especially during Covid-19, while acknowledging existing challenges in regulation and adoption.","• Charity Wall combines a social marketplace with automated audit solutions using Ethereum and VeChain blockchains.
• Donations can be monetary or goods, fully traceable and certified on blockchain.
• Charity Wall issues blockchain transaction certificates with QR codes linking to verification sites.
• The platform supports donations in 30 cryptocurrencies and 27 fiat currencies.
• Charity Wall's utility token (CWC) facilitates exchange of goods and services among stakeholders and rewards transparency.
• Charity Pay is a payment system allowing donations from multiple websites, supporting various payment methods including crypto and credit cards.
• The platform offers customizable widgets and Web APIs for integration with third-party systems.
• Charity Wall supports transparency by enabling upload and certification of all donation-related documents.
• The #DonaChiaro campaign used Charity Wall to transparently fund Covid-19 protective equipment for Italian hospitals.
• Blockchain traceability helps donors monitor the use of funds and increases confidence in charitable organizations.
• Charity Wall reduces operational costs by minimizing intermediaries and digitizing processes.
• The platform fosters a virtuous cycle between donors and NPOs, improving accountability and professionalization.
• The study highlights the urgent need for clearer regulations and better awareness to fully exploit blockchain potential in charity.
• Charity Wall was recognized as a promising European blockchain startup and has partnerships with major Italian industrial associations.
• The Covid-19 pandemic accelerated the need for digital and blockchain-based solutions in philanthropy.
• Blockchain's immutability and transparency help prevent fraud and misuse of charitable funds.
• Charity Wall enables certification of donations made outside its portal, ensuring traceability.
• The platform supports both small donors and large philanthropic entities, enhancing CSR certification processes.
• Charity Wall's dual blockchain approach reduces transaction costs and increases scalability.
• Future developments include integrating CWCoin payback rewards and expanding payment functionalities across e-commerce and physical stores.",Managing charity 4.0 with Blockchain a case study at the time of Covid-19.pdf
